country,year,culture_exp
AT,2007,1.5
AT,2013,1.3
BE,2007,1.2
BE,2013,1.3
BG,2007,0.7
BG,2013,0.8
CH,2007,1
CH,2013,1
CY,2007,1.1
CY,2013,0.9
CZ,2007,1.4
CZ,2013,1.3
DE,2007,1.1
DE,2013,1
DK,2007,1.8
DK,2013,1.8
EA19,2013,1.2
EA20,2013,1.2
EA21,2013,1.2
EE,2007,2.1
EE,2013,2.1
EL,2007,0.7
EL,2013,0.7
ES,2007,1.6
ES,2013,1.1
EU27_2020,2013,1.2
FI,2007,1
FI,2013,1.5
FR,2007,1.5
FR,2013,1.6
HR,2007,2
HR,2013,2
HU,2007,1.5
HU,2013,1.8
IE,2007,0.7
IE,2013,0.7
IS,2007,3.5
IS,2013,3.1
IT,2007,0.7
IT,2013,0.7
LT,2007,1
LT,2013,0.8
LU,2007,1.2
LU,2013,1.2
LV,2007,1.8
LV,2013,1.6
MT,2007,0.5
MT,2013,0.9
NL,2007,1.3
NL,2013,1.3
NO,2007,1.3
NO,2013,1.5
PL,2007,1.2
PL,2013,1.1
PT,2007,1.1
PT,2013,1
RO,2007,1.1
RO,2013,1
SE,2007,1.4
SE,2013,1.5
SI,2007,1.2
SI,2013,1.8
SK,2013,1
